"name","artist","bpm","key","genre"
"22/02/2019","","","",""
"When You Feel Good (Original Mix)","Stema","125","Bbm","House"
"Do You Know (Original Mix)","Olivian DJ","125","Db","Funky/Groove/Jackin' House"
"I Got a Feeling (Club Mix)","Milk & Sugar","125","Ebm","Funky/Groove/Jackin' House"
"Corcovado (Original Mix)","Dario Nunez","124","Ebm","Funky/Groove/Jackin' House"
"Stay With Me (Original Mix)","Paul Spencer","124","G#m","House"
"I Believe (Original Mix)","Angelo Frezza, Yvvan Back, BigNoise","125","Bbm","Funky/Groove/Jackin' House"
"Tambores (Joeski Tambores In Africa Extended Mix)","Harry Romero","125","Fm","House"
"This Feeling (Low Steppa Remix)","Roger Sanchez, Park & Sons feat. Julie Mc Knight","125","Cm","House"
"Mistake Of Nature (Tom Enzy 5am Remix)","Lawrence Casal, Tom Enzy","125","Cm","House"
"It's Your Time (To Party) (Original Mix)","DJ Fopp, Luciano Gaggia","125","Dm","House"
"La Fluta de Habana (Extended Mix)","Frank Nitty","126","Am","Tech House"
"Sandstorm (Original Mix)","Manuel Grandi","126","Em","Funky/Groove/Jackin' House"
"Tick Tock (Original Mix)","Dean Mason","126","Am","Funky/Groove/Jackin' House"
"Papa's In The Groove (Buggin Around Mix)","Ministry Of Funk","128","Em","Funk/Soul/Disco"
"Let Me Live Again (A Director's Cut Master)","Colton Ford","128","Bm","House"
"Billy Drumz (Original Mix)","Luca Debonaire","128","F#m","Funky/Groove/Jackin' House"
"Moments (myni8hte Remix)","Marfen","128","C#m","Progressive House"
"Keep On Going","Renaldas","128","G#m","Progressive House"
"Sudden Menace (David Bernardi Remix)","Daniel Defekt, Ruzo","127","G#m","House"
"Reachin For The Stars (Original Mix)","Block & Crown, Chris Marina","126","Ebm","House"
"Egyptian Magician (Whirling Dervishes Mix)","Armand Van Helden & Jungle Juice","125","Bbm","House"
"I Wanna Give You (Original Mix)","Antoine Clamaran & Agua Sin Gas","125","Fm","Funky/Groove/Jackin' House"
"Disco Fever (Original Mix)","Sergio Matina, Gabry Sangineto","124","Bbm","Funky/Groove/Jackin' House"
"Keep The Funk (Original Mix)","Andrey Exx & Pushkarev","123","Fm","Funky/Groove/Jackin' House"
"At Night (Peggy Gou's Acid Journey Remix)","Shakedown","124","Fm","House"
"Standing On The Wall (Original Mix)","DJ Kristina Mailana","124","Bbm","House"
"The Big Space (CV Music Version)","Riccardo Remedi","123","Fm","House"
"Something That I Want (Deep Below The Omnia Mix)","Gass Krupp","122","Cm","Funky/Groove/Jackin' House"
"The Only Way Is Up (Original Mix)","Luca Debonaire, DiscoVer","122","Gm","Funky/Groove/Jackin' House"
"Show Me Love 2K18 (Andrey Exx Remix)","Robin S, Chris Montana & Slava Dmitriev","122","Dm","Funky/Groove/Jackin' House"
"Finally (Crazibiza Remix)","Nicola Fasano & Kate Wild","123","Am","Funky/Groove/Jackin' House"
"Freak Like Me (Armand Van Helden Remix)","Lee Walker & DJ Deeon","123","Em","House"
"In & Out Of My Life (Armand Van Helden Mix)","Tonja Dantzler","123","Bm","House"
