"name","artist","bpm","key","genre"
"26/02/2019","","","",""
"Raise a Glass (Denney Remix)","Ryan Blyth, BB Diamond","123","Cm","House"
"Place Called Home (Feat. Larae Starr)","Dantiez Saunderson & Kpd","123","Gm","House"
"It's You (Mousse T.'s Discotronic Mix)","FCL","123","Dm","House"
"Finally (Crazibiza Remix)","Nicola Fasano & Kate Wild","123","Am","Funky/Groove/Jackin' House"
"Feel The Rhythm","Anfunk","123","Em","House"
"Feel The G (Original Mix)","Just Sam","124","Em","House"
"I Love My House Music","Mark Maxwell","123","F#m","House"
"Asi Lo Grita (Harry Romero & Erick Morillo Extended Remix)","Dario Nunez, Frank Nitty","124","C#m","House"
"Read My Lips","Danny Tenaglia, Lula","125","G#m","House"
"Every Day Of My Life (Original Mix)","Matonii","125","Ebm","House"
"Mama Papa (Original Mix)","Jimcash, Tindaro","125","Bbm","House"
"Rock Da Move (Original Mix)","Hoxton Whores & Sean Finn","126","Fm","Funky/Groove/Jackin' House"
"Messing With My Head (Original Mix)","Dilby","125","Cm","House"
"Do It (Original Mix)","Miss Kay Dee","123","Gm","House"
"Clouds (Purple Disco Machine Remix)","Martin Waslewski","122","Dm","House"
"Walking On Sunshine (Full Intention Remix)","Rockers Revenge & Donnie Calvin","122","G#m","Funky/Groove/Jackin' House"
"For The Homies (Original Mix)","Block & Crown","118","Fm","Funky/Groove/Jackin' House"
