"name","artist","bpm","key","genre"
"04/01/2019","","","",""
"Ghost (Original Mix)","Gardens Of God","123","Gm","Techno"
"Reste (Raxon Remix)","Olivier Giacomotto, Noir","123","Cm","Techno"
"Megacity Servant (Original Mix)","Reinier Zonneveld","124","Cm","Techno"
"Lost Tribe (Original Mix)","DJ Dextro","124","Gm","Techno"
"Dying Planet","Tiger Stripes","125","Cm","Techno"
"Massive Attack","Metodi Hristov","125","Fm","Techno"
"I'm Somebody (Original Mix)","Oscar L","124","Fm","Techno"
"Fuego (Julian Jeweil Remix)","Oliver Huntemann, Dubfire","125","Fm","Techno"
"Capu (Original Mix)","Natalino Nunes","125","Cm","Techno"
"Secondary (Tiger Stripes Remix)","Oscar Escapa","126","Fm","Techno"
"Detection (Original Mix)","Marco Effe","126","Cm","Techno"
"The Eye Of The Beholder (Original Mix)","Victor Ruiz","126","Gm","Techno"
"Booster (Original Mix)","Sudo","125","Dm","Techno"
"Ghettoblaster (Original Mix)","Enrico Sangiuliano","125","Am","Techno"
"Killer (Dense & Pika Remix)","Boys Noize","125","Em","Techno"
"Soul Movement (Original Mix)","Spektre","126","Am","Techno"
"Wheel","Veerus","127","Am","Techno"
"Take This Trip","Marco Faraone","127","Em","Techno"
"Sentinel (Original Mix)","Cosmic Boys","128","Bm","Techno"
"Self Existence","Reset Robot","128","F#m","Techno"
"A Further Existence","Enrico Sangiuliano","129","F#m","Techno"
"Trip (Original Mix)","Kaiserdisco","130","G#m","Techno"
"Blast (Original Mix)","Tom Hades","130","Ebm","Techno"
"Kaputt","Thomas Schumacher & Victor Ruiz","130","Fm","Techno"
"People's Nation (Original Mix)","B.Traits","132","Cm","Techno"
