"name","artist","bpm","key","genre"
"11/01/2019","","","",""
"Let The Rhythm Take You Higher (Original Mix) ","Alessio Cala'","124","Fm","House"
"Sway (DJ Konflikt Edit) (Clean)","Freejak","124","Fm","House"
"The Music (Original)","DJ Mes, Rescue","124","Fm","House"
"The Thrill Of The Beats (Original Mix)","Luca Debonaire","124","Cm","Funky/Groove/Jackin' House"
"Horn It (Extended Mix)","Toyboy & Robin","125","Gm","House"
"Keep It Going (Angelo Ferreri Remix)","The Knowledge","124","Dm","House"
"Drop The Pressure (Original Mix)","Manuel Grandi","123","Am","Funky/Groove/Jackin' House"
"Revolution (Deep In Jersey Extended Mix)","Harry Romero","124","Am","House"
"Deep Fried (Original Mix)","Mario Fx, Rajiv Alfaroo","125","Em","House"
"Work Is Work (Her Wet Shoes)","Tony Humphries","124","Bm","House"
"Not Afraid (Clean) (Extended)","Kastra feat. Bodhi Jones","124","F#m","House"
"Sorry I Am Late (Richy Ahmed Remix)","Kollektiv Turmstrasse","125","F#m","House"
"Who Got The Funk (Original Mix)","Luca Debonaire & Sharapov","126","G#m","Funky/Groove/Jackin' House"
"New York Express","Hardhead","127","Ebm","House"
"Free (Deepside Deejays Remix)","DJ Sava feat. Andreea D. & J. Yolo ","128","Bbm","House"
"Sandstorm (Original Mix)","Manuel Grandi","126","Em","Funky/Groove/Jackin' House"
"My Feelings (Original Mix)","Block & Crown & Pete Rose","126","Em","Funky/Groove/Jackin' House"
"Baker Funkin' (Original Mix)","Block & Crown","125","Am","Funky/Groove/Jackin' House"
"Summer Never Ends (Southern Tier Remix)","DTALM","126","Am","Progressive House"
"Keeagh (Original Mix)","Martin Graff","126","Em","Progressive House"
"Something More (VIP Mix) (Clean) (Extended)","KNOXA feat. Georgia Ku","126","Gm","House"
"Pump Up The Volume (Extended Mix)","Mart & Under Sanctions","124","Gm","Funky/Groove/Jackin' House"
"Kilometer (A-Trak Mix)","Sebastien Tellier","124","Dm","House"
"Let's Go to Bed [Mousse T Mix]","No Angels","124","Gm","House"
"Cada Vez [Grant Nelson Vocal Remix]","Negrocan","125","Cm","House"
"(Do The) Spanish Hustle [Club Mix]","Full Intention","126","Gm","House"
"Suite 56 [Underground Central Extended Mix]","Solar Sides","127","Dm","House"
"Groovejet (Block & Crown Remix)","Lissat & Voltaxx & Marc Fisher","127","Am","Funky/Groove/Jackin' House"
"Beautiful Night (DJ Flight Remix)","Theory, DJ Favorite","128","Em","Funky/Groove/Jackin' House"
"Let Me Live Again (A Director's Cut Master)","Colton Ford","128","Bm","House"
"Billy Drumz (Original Mix)","Luca Debonaire","128","F#m","Funky/Groove/Jackin' House"
"Back To You (Erick Morillo Club Mix) (Extended)","Natasha Ashworth","128","C#m","House"
"Fresh Prince (Vibe Killers Remix)","Javi Bora, Iban Montoro & Jazzman Wax","128","F#m","House"
