"name","artist","bpm","key","genre"
"23/02/2019","","","",""
"House Arrest (The Beat Is the Law)","Krush","120","Gm","House"
"The Calling (Extended Mix)","Eelke Kleijn","120","Dm","House"
"Drakensburg (Roman Prus Remix)","Intercity","120","Gm","Deep House"
"Nightcrawler (Clean) (Extended)","ZHU","122","Dm","Deep House"
"Africa (Original Mix)","Human Machine","122","Am","Deep House"
"Unity (Jay Vegas Remix)","Soundscapers, Jay Vegas","121","Em","House"
"Catch The Beat (Dimi's & Mousse T.'s Old School Mix)","T Ski Valley","121","Bm","House"
"Animal (Original Mix)","Kaz James","120","F#m","House"
"Let No Man Put Asunder (Frankie Knuckles 12"" Mix)","First Choice","120","C#m","House"
"Only The Strong Survive (Club Mix)","Frankie Knuckles","120","F#m","House"
"Can I Get A Witness (Mousse T.'s Funk 2K Mix)","Ann Nesby ","122","G#m","House"
"Till The Morning feat. Hayley May (Extended Club Mix)","Felon, Hayley May","122","G#m","House"
"Lifting (Original Club Mix)","Henry Hacking","123","Ebm","House"
"Find Our Way (Breakaway) (Club Path Remix)","Key To Life feat. Kathleen Murphy","123","Bbm","House"
"House Story (History Of House Megamix)","Chris Longley","123","Fm","House"
"You (Original Mix)","Keyano","123","Fm","House"
"Cala Bassa (Original Mix)","People Of Interest","123","Cm","House"
"Rumble (Original Mix)","Space Food","123","Gm","House"
