"name","artist","bpm","key","genre"
"25/03/2019","","","",""
"HomeBoy Flow (Original Mix)","Alexander Orue","124","Dm","Funky/Groove/Jackin' House"
"Como Va (Original Mix)","Sugar Hill & Natema","125","Dm","House"
"Ehy Ehy","Karlo Roma","125","Am","House"
"Ride The Horse (Block & Crown Remix)","Luca Debonaire","125","Am","House"
"Marchand De Sable (Original)","DJ Mes","124","Em","House"
"No Stopping (Original Mix)","David Keno, Dilby","124","Bm","House"
"Calling All Hearts (Frankie Knuckles & Eric Kupper Remix) (Extended)","DJ Cassidy","124","11A","House"
"You Know That I Love You (Original Mix)","Alexis Raphael","125","F#m","House"
"The Beat Of The Drum (Original Mix)","Block & Crown, Lissat","126","C#m","Funky/Groove/Jackin' House"
"Moogie Boogie (Doc Brown Remix)","Discoden ","126","G#m","House"
"Think About You (Original Mix)","CrazyBeats","127","Ebm","Funky/Groove/Jackin' House"
"I Want Your Soul","Armand Van Helden","128","Bbm","House"
"Golden Song (Original Mix)","DJ Favorite, Kristina Mailana","128","Fm","House"
"Spanish Hustle (Chris Moody Remix)","Denis The Menace, Chris Montana","128","Cm","House"
"Pasilda (Knee Deep Mix) (Clean) (Extended)","Afro Medusa","127","Gm","House"
