"name","artist","bpm","key","genre"
"02/03/2019","","","",""
"Tonight (Original Mix)","Crystal Shakers","120","Em","Funky/Groove/Jackin' House"
"House Gangsters (Original Mix)","Scotty Boy, Block & Crown","120","Bm","Funky/Groove/Jackin' House"
"Pump It in Stereo (Original Mix)","Andrey Exx, Romain Pelletti, Lissat","122","Em","Funky/Groove/Jackin' House"
"Africa (Original Mix)","Human Machine","122","Am","Deep House"
"Cape Coast (Clean) (Extended)","&ME","120","Em","House"
"Doin' My Thing (Original Mix)","PEZNT, Born I Music","124","Bm","Funky/Groove/Jackin' House"
"Mr. Right Now (Original Mix)","Lissat & Superdope feat. Veronica Lee ","124","A","Funky/Groove/Jackin' House"
"The City Of Free Love (David Penn Remix)","Gianni Bini","123","C#m","House"
"Musika (Babert Remix)","Yolanda Be Cool, Kwanzaa Posse, Babert","123","G#m","Indie Dance/Nu Disco"
"Have A Dream (Original Mix)","Alessio Cala'","122","Ebm","House"
"Go Down","Startraxx","124","Bbm","Funky/Groove/Jackin' House"
"Da Bomb (Original Mix)","The Bestseller","124","Fm","Funky/Groove/Jackin' House"
"Hello (DJ Spade & TrackDilla Remix) (Clean) (Extended)","Adele","122","Fm","House"
"God Made Me Feel It (Claptone Edit)","MD X-Spress, Simion","122","Fm","House"
"You'd Better Believe (Original Mix)","Funkatomic","122","Cm","House"
"Upside & Round And Around (Original Mix)","Tommy B & Popcorn Poppers","123","Gm","Funky/Groove/Jackin' House"
"Thank You (Black Legend Project Remix)","Asle","123","Dm","House"
