"name","artist","bpm","key","genre"
"08/02/2019","","","",""
"The City Of Free Love (David Penn Remix)","Gianni Bini","123","C#m","House"
"Love Lasts Forever (Pink Panda Extended Vocal Mix)","All Saints","122","F#m","Progress House"
"Get On The Floor (Original Mix)","LucaJLove","124","Bm","House"
"Betty Never Sleeps (Original Mix)","Block & Crown","124","Em","Funky/Groove/Jackin' House"
"Make Luv (Let Yourself Go) (Original Mix)","Block & Crown","125","Bm","Funky/Groove/Jackin' House"
"Without This (Original Club Mix)","Gary Caos, Wlady & T.N.Y.","125","F#m","Funky/Groove/Jackin' House"
"Remember","Dinero","124","C#m","Funky/Groove/Jackin' House"
"All That She Wants (Original Mix)","Yvvan Back","125","G#m","Funky/Groove/Jackin' House"
"Reachin For The Stars (Original Mix)","Block & Crown, Chris Marina","126","Ebm","House"
"House Technology (Original Mix)","Sweetpower","125","Bbm","House"
"Ya'll Came to Jack? (Original Mix)","Scotty Boy","125","Fm","Funky/Groove/Jackin' House"
"Les follies","Anthony M.","126","Fm","House"
"Get Down (Mousse T. Classic Club Mix)","Todd Terry All Stars feat. DJ Sneak, Terry Hunter, Kenny Dope & Tara McDonal","126","Cm","House"
"Rise (Born To Funk Miami House Mix)","Soul Providers feat. Michelle Shellers","126","Gm","House"
"Time 2 Move (Original Mix)","Luca Debonaire & Sharapov","126","Dm","Funky/Groove/Jackin' House"
"Funky Nassau (Original Mix)","Sean Finn, Paul Jockey, Ruben Coco","126","Am","Funky/Groove/Jackin' House"
"Sandstorm (Original Mix)","Manuel Grandi","126","Em","Funky/Groove/Jackin' House"
"Ali Bomboye (Original Mix)","Michelelino, MarioCece","125","Bm","House"
"World in Motion (Crooper Remix)","FROIDZ","125","F#m","House"
"Like An Egyptian (Original Mix)","VASSA","125","A","Funky/Groove/Jackin' House"
"Walkin & Talkin (Original Mix)","Crazibiza, Block & Crown","125","F#m","Funky/Groove/Jackin' House"
"Prayer (Original Mix)","Massivedrum","126","F#m","Funky/Groove/Jackin' House"
"Sun Goes Down (Unreleased Mix)","Zsak & Crazibiza","124","C#m","Funky/Groove/Jackin' House"
"Tonight (Original Mix)","Antoine Clamaran & Agua Sin Gas","125","G#m","Funky/Groove/Jackin' House"
"Corcovado (Original Mix)","Dario Nunez","124","Ebm","Funky/Groove/Jackin' House"
"Disco Fever (Original Mix)","Sergio Matina, Gabry Sangineto","124","Bbm","Funky/Groove/Jackin' House"
"Whoomp Just a Little (Original Mix)","Softmal","124","Fm","Funky/Groove/Jackin' House"
"The Thrill Of The Beats (Original Mix)","Luca Debonaire","124","Cm","Funky/Groove/Jackin' House"
"Shake It Mama (Original Mix)","Richard Grey & Lissat","124","Gm","Funky/Groove/Jackin' House"
"The Thrill Of The Beats (Original Mix)","Luca Debonaire","124","Cm","Funky/Groove/Jackin' House"
"Low Rider (Extended Mix)","Ummet Ozcan & War","124","Gm","Funky/Groove/Jackin' House"
"The Drums (Jeremy Bass Remix)","Federico Scavo","125","Dm","Funky/Groove/Jackin' House"
"Maghic (Original Mix)","Antoine Clamaran & Agua Sin Gas","124","Em","Funky/Groove/Jackin' House"
