"name","artist","bpm","key","genre"
"12/04/2019","","","",""
"Wayward Son (Original Mix)","Softmal, Nytron, Avrupts","122","Am","Dance"
"Thank You (Black Legend Project Remix)","Asle","123","Dm","House"
"Upside & Round And Around (Original Mix)","Tommy B & Popcorn Poppers","123","Gm","Funky/Groove/Jackin' House"
"YEAH (Original Mix)","Richard Grey, Lissat","122","Gm","Funky/Groove/Jackin' House"
"Cala Bassa (Original Mix)","People Of Interest","123","Cm","House"
"Yeahhh (Lokee & Stefane Remix)","Crazibiza","124","Fm","Funky/Groove/Jackin' House"
"Disco Fever (Original Mix)","Sergio Matina, Gabry Sangineto","124","Bbm","Funky/Groove/Jackin' House"
"What About The People? (Full Intention Edit)","Full Intention, Rockers Revenge","124","Ebm","House"
"Bingo Bango (Tom Staar & Kryder Extended Remix)","Basement Jaxx","124","G#m","Funky/Groove/Jackin' House"
"Asi Lo Grita (Harry Romero & Erick Morillo Extended Remix)","Dario Nunez, Frank Nitty","124","C#m","House"
"Who Got The Funk (Original Mix)","Luca Debonaire & Sharapov","126","G#m","Funky/Groove/Jackin' House"
"Hey Hey (Mousse T.'s House Masters Re-Rub)","Dennis Ferrer","126","Ebm","House"
"I Want Your Soul","Armand Van Helden","128","Bbm","House"
"You Make Me (David Tort HoTL Mix)","John Jacobsen","128","Cm","Funky/Groove/Jackin' House"
"Spanish Hustle (DJ Metzker Viktoria Remix)","Denis The Menace, Chris Montana","130","Eb","House"
