"name","artist","bpm","key","genre"
"15/02/2019","","","",""
"House Sensation (Original Mix)","CZR & J Paul Getto","125","Am","House"
"Mercy (Radio Mix)","DirtyDisco","125","Am","Funky/Groove/Jackin' House"
"Funk Influence (Original Mix)","Kenny Bizzarro","125","Am","Funky/Groove/Jackin' House"
"House Can't Turn Around (Classic Zone)","Toru S.","124","Em","House"
"Drop The Pressure (Original Mix)","Manuel Grandi","123","Am","Funky/Groove/Jackin' House"
"Nah Nah Nah (Original Mix)","Sugarboys","124","Am","Funky/Groove/Jackin' House"
"Give It All (Original Mix)","am2pm, Rogero Lunez","124","Em","House"
"Testify (Mousse T.'s Test-A-Dub)","Urban Blues Project & Jay Williams","124","Bm","House"
"Not Afraid (Clean) (Extended)","Kastra feat. Bodhi Jones","124","F#m","House"
"Don't Mess With My Man (Tony Romera Remix) (Clean) (Extended)","Lucy Pearl","125","F#m","House"
"The Bumps","Lord Leopard","126","F#m","House"
"Baby (Clean) (Extended)","Bakermat","126","C#m","House"
"Around The World (Extended)","Tradelove","127","G#m","House"
"That Sound (Extended Vocal Mix)","Michael Moog","128","G#m","House"
"I Want Your Soul","Armand Van Helden","128","Bbm","House"
"Get Involved","DBow","128","Fm","House"
"Spanish Hustle (Chris Moody Remix)","Denis The Menace, Chris Montana","128","Cm","House"
"Je Suis Music (Armand Van Helden 12'' Mix)","Cerrone","130","Cm","House"
"Hold Me Up (Original JJ's Vocal Mix)","Glory feat. Jocelyn Brown","128","Gm","House"
"Lifted Spirits (Original Mix)","Martin Buttrich & Enzo Siragusa","127","Cm","Tech House"
"Mas Que Nada (Original Mix)","Styline & Raul Mendes","126","Fm","Funky/Groove/Jackin' House"
"I Believe (Original Mix)","Angelo Frezza, Yvvan Back, BigNoise","125","Bbm","Funky/Groove/Jackin' House"
"SassoBasso (The Cube Guys Remix)","Andrea Laddo","125","Ebm","Funky/Groove/Jackin' House"
"Relight My Fire (Original Mix)","Block & Crown","125","G#m","Funky/Groove/Jackin' House"
"Time To Get U (Original Mix)","Gaab, Popcorn Poppers","125","Ebm","Funky/Groove/Jackin' House"
"Da Bomb (Original Mix)","The Bestseller","124","Fm","Funky/Groove/Jackin' House"
"That Same Line But Different (Original Mix)","Block & Crown","123","Cm","Funky/Groove/Jackin' House"
"I Say A Bitch (Hatiras Remix)","Antoine Clamaran & Agua Sin Gas","124","Gm","Funky/Groove/Jackin' House"
"Harlem Bounce (Angelo Ferreri Remix)","Vanilla Ace, K & K, Angelo Ferreri","122","Am","Funky/Groove/Jackin' House"
"Another One Bites the Dust 2018","Andrey Exx, Romain Pelletti","122","Em","Funky/Groove/Jackin' House"
"Ah Feel Like Ahcid (New Edit Mix)","The Cube Guys, David Penn","123","Am","House"
"Babarabatiri (David Penn Remix)","Todd Terry, Gypsymen, David Penn","124","Am","House"
