"name","artist","bpm","key","genre"
"15/03/2019","","","",""
"Campfire (Clean) (Extended)","Mathieu Koss & Boris Way","124","Db","House"
"Standing On The Wall (Original Mix)","DJ Kristina Mailana","124","Bbm","House"
"Keep Pushing On (Original Mix)","Simion","124","Fm","House"
"The Thrill Of The Beats (Original Mix)","Luca Debonaire","124","Cm","Funky/Groove/Jackin' House"
"Pussy Lovers (Original Mix)","James Hurr & HXTN","124","Gm","Funky/Groove/Jackin' House"
"Bad Habit (ATFC Original Vocal)","ATFC feat. Lisa Millett","125","Dm","House"
"C'mon Clap Your Hands (DJ Mes Re-Rub) (DJ Mes Re-Rub)","The Magi","125","Am","House"
"Friends (Eats Everything Rework)","Seven Davis Jr.","125","Em","House"
"Sandstorm (Original Mix)","Manuel Grandi","126","Em","Funky/Groove/Jackin' House"
"Believe (Ministers Vocal Mix)","Ministers De La Funk feat. Jocelyn Brown","127","Em","House"
"Life Goes On (Original Club Mix)","Georgie Porgie","128","Em","House"
"Devotion (Original Mix)","Wh0","128","Bm","Tech House"
"Runnin (BASSTOY Redux Vocal)","BASSTOY feat. Dana Divine","128","F#m","House"
"Watch What Ya Doing (Original Mix)","Patrick Topping","130","E","Tech House"
"Back To You (Erick Morillo Club Mix) (Extended)","Natasha Ashworth","128","C#m","House"
"Ride The Rhythm (Joey Negro Club Mix)","Joey Negro","127","G#m","Funk/Soul/Disco"
"Work (Steve Pitron & Max Sanna Extended Remix)","Kelly Rowland","127","Ebm","Funk/Soul/Disco"
"I'm Not Afraid Of The Future (Joey Negro Rodox Mix)","Akabu","126","Bbm","Funk/Soul/Disco"
"This Pressure (Original Mix)","Richard Grey","126","Fm","Funky/Groove/Jackin'House"
"Messing With My Head (Original Mix)","Dilby","125","Cm","House"
"I Say A Bitch (Hatiras Remix)","Antoine Clamaran & Agua Sin Gas","124","Gm","Funky/Groove/Jackin' House"
"The Prayer (Original Mix)","Luca Debonaire & Chris Marina","124","Dm","Funky/Groove/Jackin' House"
"Body Movin' (Original Mix)","Goyah","123","Am","Funky/Groove/Jackin' House"
"Supernatural (Mousse T. Super Soul Mix)","Kim English","122","Am","House"
"Closer to the Horizon (Original Mix)","DJ Goman","120","Am","House"
"The Calling (Extended Mix)","Eelke Kleijn","120","Dm","House"
"You Got The Love (Original Mix)","Jerome Robins","120","Dm","Funky/Groove/Jackin' House"
"What You Say About My Momma (Original Mix)","Jesse Perez","122","Am","Tech House"
"Peculiar Colors (Dance Spirit Remix)","Atish","122","Em","Tech House"
"Planet Rock (Claptone Remix)","Roland Clark, Powers That Be","120","Bm","House"
"Groove Night","Morgan Thurman","120","Bm","House"
